term,frequency,present
absorb,0,0
access,0,0
accumul,0,0
activ,0,0
adapt,0,0
address,0,0
adopt,1,1
advanc,0,0
affect,0,0
afford,0,0
agreement,2,1
agricultur,0,0
aim,0,0
also,0,0
alter,0,0
amount,0,0
applianc,0,0
approach,0,0
aquif,0,0
area,0,0
atmospher,0,0
avail,0,0
away,1,1
becom,0,0
biodivers,0,0
build,0,0
busi,0,0
captur,0,0
carbon,1,1
cell,0,0
centuri,0,0
challeng,0,0
chang,0,0
choos,0,0
circular,0,0
citi,0,0
clean,0,0
climat,0,0
coal,1,1
commerci,0,0
compon,0,0
congest,0,0
conserv,0,0
consid,0,0
consist,0,0
continu,0,0
convert,0,0
cooper,0,0
coral,0,0
creat,0,0
crop,0,0
crucial,1,1
cycl,0,0
demand,0,0
desalin,0,0
design,0,0
dioxid,0,0
dispos,0,0
driven,0,0
droughtresist,0,0
due,0,0
earth,0,0
econom,0,0
economi,0,0
ecosystem,0,0
effect,0,0
effici,0,0
electr,0,0
elimin,0,0
emiss,1,1
emphas,0,0
encourag,1,1
energi,2,1
energyeffici,0,0
ensur,0,0
environment,0,0
equival,0,0
essenti,1,1
event,0,0
express,0,0
extrem,0,0
farm,0,0
fish,0,0
focus,0,0
food,0,0
footprint,0,0
fossil,0,0
frequent,0,0
fresh,0,0
fuel,0,0
futur,0,0
gas,0,0
gase,0,0
generat,0,0
global,0,0
govern,1,1
green,1,1
greenhous,0,0
grow,0,0
growth,1,1
harvest,0,0
health,0,0
heart,0,0
help,0,0
howev,0,0
human,0,0
impact,0,0
implement,0,0
includ,0,0
increas,0,0
infrastructur,0,0
innov,0,0
instal,0,0
intern,1,1
invest,1,1
involv,0,0
key,0,0
kinet,0,0
landscap,0,0
lead,0,0
level,0,0
leverag,0,0
life,0,0
like,1,1
linear,0,0
local,0,0
longterm,1,1
loss,0,0
lower,0,0
maintain,0,0
make,0,0
manag,0,0
mandat,1,1
marin,0,0
materi,0,0
measur,0,0
mechan,0,0
meet,0,0
minim,0,0
mitig,0,0
model,0,0
must,0,0
natur,0,0
nutriti,0,0
ocean,0,0
offshor,0,0
oil,1,1
one,0,0
organ,0,0
overfish,0,0
panel,0,0
pari,1,1
particular,0,0
pattern,0,0
peopl,0,0
photovolta,0,0
plan,0,0
plastic,0,0
play,1,1
polici,2,1
pollut,0,0
popul,0,0
power,1,1
practic,0,0
precipit,0,0
press,0,0
pressur,0,0
priorit,0,0
produc,0,0
product,0,0
promot,1,1
protect,0,0
public,0,0
quieter,0,0
rainwat,0,0
raw,0,0
recycl,0,0
reduc,1,1
reef,0,0
reforest,0,0
regul,1,1
relianc,0,0
renew,2,1
repair,0,0
requir,0,0
residenti,0,0
resili,0,0
resourc,0,0
reus,0,0
rise,0,0
role,1,1
rotat,0,0
safe,0,0
scarciti,0,0
sea,0,0
secur,0,0
set,1,1
shift,0,0
signific,0,0
soil,0,0
solar,1,1
sourc,0,0
space,0,0
stabil,1,1
strategi,0,0
stronger,0,0
subsidi,1,1
suffici,0,0
sun,0,0
suppli,0,0
sustain,1,1
take,0,0
target,1,1
tax,1,1
technolog,1,1
temperatur,0,0
threaten,0,0
ton,0,0
total,0,0
toward,0,0
tradit,0,0
traffic,0,0
transform,0,0
transit,1,1
transport,0,0
turbin,0,0
unlik,0,0
urban,0,0
use,0,0
util,0,0
vertic,0,0
vital,0,0
walk,0,0
warm,0,0
wast,0,0
water,0,0
weather,0,0
wildlif,0,0
wind,1,1
